Active Ingredient,Trade Name,AUST R,Expected Supply,Availability,Management Action,Updated
pioglitazone hydrochloride,VEXAZONE pioglitazone (as hydrochloride) 30mg tablet blister pack,AUST R: 164344,Expected supply: 30 Jun 2025,Availability: Limited Availability,Management action: An alternative generic product is available.,Updated 20-03-2025
pioglitazone hydrochloride,VEXAZONE pioglitazone (as hydrochloride) 45mg tablet blister pack,AUST R: 164343,Expected supply: 30 Jun 2025,Availability: Limited Availability,Management action: Alternative generic products are available.,Updated 20-03-2025
flecainide acetate,Flecainide Sandoz flecainide acetate 100 mg tablet blister pack,AUST R: 232474,Expected supply: 01 Jun 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 20-03-2025
ezetimibe,EZALO Composite Pack 10mg+40mg ezetimibe 10mg tablets and rosuvastatin (as calcium) 40mg tablets composite pack,AUST R: 203688,Expected supply: 28 Mar 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 18-03-2025
mupirocin,APO-MUPIROCIN mupirocin 20 mg/g ointment tube,AUST R: 276520,Expected supply: 06 Jun 2025,Availability: Limited Availability,Management action: Alternative brands are available.,Updated 18-03-2025
primidone,MYSOLINE primidone 250mg tablet bottle,AUST R: 11231,Expected supply: 07 Apr 2025,Availability: Limited Availability,Management action: The sponsor of this medicine have reserved limited stock for emergency supply. Please contact Link Pharmaceuticals on 1800 181 060 to enquire about supply.,Updated 18-03-2025
calcitonin salmon,MIACALCIC calcitonin salmon (salcatonin) 100IU/1mL injection ampoule,AUST R: 13363,Expected supply: 31 Jul 2025,Availability: Limited Availability,Management action: Sponsor is closely controlling the supply.,Updated 18-03-2025
bimatoprost,BIMATOPROST SANDOZ 300 microgram/mL eye drops solution bottle,AUST R: 234901,Expected supply: 09 Sep 2025,Availability: Unavailable,Management action: Alternative brands are available.,Updated 18-03-2025
ethinylestradiol,NORIMIN-1 28 day tablet blister pack,AUST R: 62136,Expected supply: 30 Apr 2025,Availability: Limited Availability,Management action: The sponsor is closely controlling the supply and working to expedite the next shipment.,Updated 17-03-2025
clonidine hydrochloride,CLONIDINE Lupin clonidine hydrochloride 100 micrograms tablet bottle,AUST R: 265778,Expected supply: 30 Apr 2025,Availability: Unavailable,Management action: The sponsor is working to expedite the next shipment. An alternative product is available.,Updated 17-03-2025
hydrocortisone,HYDROCORTISONE VIATRIS 20 hydrocortisone 20 mg tablet bottle,AUST R: 290098,Expected supply: 30 May 2025,Availability: Limited Availability,Management action: The sponsor is closely controlling the supply.,Updated 17-03-2025
hydrocortisone,HYSONE 20 Hydrocortisone 20mg tablet bottle,AUST R: 27926,Expected supply: 30 May 2025,Availability: Limited Availability,Management action: The sponsor is closely controlling the supply.,Updated 17-03-2025
midazolam,MIDAZOLAM ACCORD midazolam (as hydrochloride) 15 mg/3 mL solution for injection ampoules,AUST R: 207245,Expected supply: 31 May 2025,Availability: Limited Availability,Management action: The sponsor is working to expedite the next shipment. Alternative generic products are available.,Updated 17-03-2025
zolpidem tartrate,APO-ZOLPIDEM zolpidem 10mg tablet blister pack,AUST R: 127174,Expected supply: 06 Jun 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 14-03-2025
galantamine hydrobromide,GAMINE XR galantamine (as hydrobromide) 24mg modified release capsules blister pack,AUST R: 182040,Expected supply: 29 Aug 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 14-03-2025
daptomycin,PFIZER DAPTOMYCIN daptomycin 350 mg powder for injection vial,AUST R: 373705,Expected supply: 31 Oct 2025,Availability: Limited Availability,Management action: Alternative generic products are available. The sponsor is closely controlling the supply.,Updated 14-03-2025
daptomycin,PFIZER DAPTOMYCIN daptomycin 500 mg powder for injection vial,AUST R: 373704,Expected supply: 31 Oct 2025,Availability: Limited Availability,Management action: Alternative generic products are available. The sponsor is closely controlling the supply.,Updated 14-03-2025
dexamethasone,SOFRADEX EAR DROPS dexamethasone (as sodium metasulfobenzoate) framycetin sulfate gramicidin 8 mL bottle,AUST R: 13539,Expected supply: 31 Jul 2025,Availability: Limited Availability,Management action: The sponsor is closely controlling the supply and working to expedite the next shipment.,Updated 13-03-2025
anastrozole,ARIANNA 1 anastrozole 1 mg film-coated tablet blister pack,AUST R: 259991,Expected supply: 30 May 2025,Availability: Unavailable,Management action: The sponsor is closely controlling the supply. Alternative generic products are available.,Updated 13-03-2025
donepezil hydrochloride,ARAZIL donepezil hydrochloride 10 mg tablet blister pack,AUST R: 167693,Expected supply: 07 May 2025,Availability: Limited Availability,Management action: Alternative generic products are available.,Updated 13-03-2025
nebivolol hydrochloride,NEBIVOLOL LUPIN nebivolol (as hydrochloride) 10 mg immediate release tablet blister pack,AUST R: 311742,Expected supply: 02 May 2025,Availability: Limited Availability,Management action: The sponsor is working to expedite the next shipment. Alternative brands are available.,Updated 13-03-2025
dexamethasone,OTODEX EAR DROPS dexamethasone (as sodium metasulfobenzoate) framycetin sulfate gramicidin 8 mL bottle,AUST R: 43840,Expected supply: 23 May 2025,Availability: Limited Availability,Management action: The sponsor is closely controlling the supply and working to expedite the next shipment.,Updated 13-03-2025
zolpidem tartrate,SOMIDEM zolpidem tartrate 10mg tablet blister pack,AUST R: 119196,Expected supply: 26 Apr 2025,Availability: Limited Availability,Management action: The sponsor is closely controlling the supply. Alternative generic products are available.,Updated 13-03-2025
clopidogrel hydrogen sulfate,"PLAVICOR 75, clopidogrel (as hydrogen sulfate) 75 mg, film coated tablets, blister pack",AUST R: 187039,Expected supply: 01 Jun 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 13-03-2025
rivaroxaban,RIVOXA rivaroxaban 2.5 mg film-coated tablet blister pack,AUST R: 398241,Expected supply: 01 May 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 13-03-2025
rivaroxaban,RIVOXA rivaroxaban 10 mg film-coated tablet blister pack,AUST R: 398248,Expected supply: 01 May 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 13-03-2025
quetiapine fumarate,PHARMACOR QUETIAPINE 25 quetiapine (as fumarate) 25mg film-coated tablet blister pack,AUST R: 204843,Expected supply: 01 Apr 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 13-03-2025
betahistine dihydrochloride,BETAHISTINE SANDOZ betahistine dihydrochloride 16mg tablet blister pack,AUST R: 253732,Expected supply: 13 Apr 2025,Availability: Unavailable,Management action: Alternative generic products are available. Sponsor is working to expedite the next shipment.,Updated 13-03-2025
solifenacin succinate,SOLIFENACIN LUPIN solifenacin succinate 5 mg film-coated tablets blister pack,AUST R: 296743,Expected supply: 30 May 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 12-03-2025
solifenacin succinate,SOLIFENACIN LUPIN solifenacin succinate 10 mg film-coated tablets blister pack,AUST R: 296748,Expected supply: 30 May 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 12-03-2025
heparin sodium,DBL HEPARIN SODIUM 5000IU/1mL (porcine mucous) injection BP ampoule,AUST R: 12881,Expected supply: 30 Jun 2025,Availability: Limited Availability,"Management action: The sponsor is closely controlling the supply. An unregistered product has been approved for supply under Section 19A. The approval holder, ORSPEC Pharma Pty Ltd, can be contacted for details on supply on 02 4339 4239.",Updated 12-03-2025
rizatriptan benzoate,RIZATRIPTAN WAFERS-10mg rizatriptan (as benzoate) 10mg wafer blister pack,AUST R: 225969,Expected supply: 01 May 2025,Availability: Unavailable,Management action: The sponsor is working to expedite next shipment. Alternative generic products are available.,Updated 12-03-2025
balsalazide sodium,COLAZIDE balsalazide sodium 750mg capsule bottle,AUST R: 77358,Expected supply: 17 Apr 2025,Availability: Limited Availability,Management action: The sponsor is working to expedite the next shipment.,Updated 12-03-2025
metformin hydrochloride,APX-METFORMIN  metformin hydrochloride 1000 mg tablet blister pack,AUST R: 284955,Expected supply: 25 Apr 2025,Availability: Unavailable,Management action: Alternative generic products are available. The sponsor is working to expedite next shipment.,Updated 12-03-2025
fluorouracil,FLUOROURACIL ACCORD fluorouracil 2500 mg/50 mL injection vial,AUST R: 285803,Expected supply: 30 Jun 2025,Availability: Unavailable,"Management action: Sponsor is working to expedite the next shipment. An unregistered product has been approved for supply under Section 19A. The approval holder, Medsurge Healthcare Pty Ltd can be contacted for details on supply on 1300 788 261.",Updated 12-03-2025
melatonin,VOQUILY melatonin 3 mg capsule blister pack,AUST R: 388310,Expected supply: 14 Apr 2025,Availability: Limited Availability,Management action: Sponsor is working to expedite the next shipment.,Updated 12-03-2025
azithromycin dihydrate,APO-AZITHROMYCIN azithromycin (as dihydrate) 500 mg tablet blister pack,AUST R: 195910,Expected supply: 27 Jun 2025,Availability: Unavailable,"Management action: Alternative generic products are available. An unregistered product has been approved for supply under Section 19A. The approval holder, Reach Pharmaceuticals Pty Ltd, can be contacted for details on supply on 0422 429 648.",Updated 11-03-2025
risperidone,RISPA risperidone 4 mg film-coated tablet blister pack,AUST R: 159970,Expected supply: 23 May 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 11-03-2025
azithromycin dihydrate,AZITHROMYCIN VIATRIS azithromycin (as dihydrate) 500 mg tablet blister pack,AUST R: 387051,Expected supply: 15 Apr 2025,Availability: Unavailable,"Management action: Alternative generic products are available. An unregistered product has been approved for supply under Section 19A. The approval holder, Reach Pharmaceuticals Pty Ltd, can be contacted for details on supply on 0422 429 648.",Updated 11-03-2025
azithromycin dihydrate,ZITHRO azithromycin (as dihydrate) 500 mg tablet blister pack,AUST R: 241812,Expected supply: 18 Apr 2025,Availability: Limited Availability,"Management action: Alternative generic products are available. An unregistered product has been approved for supply under Section 19A. The approval holder, Reach Pharmaceuticals Pty Ltd, can be contacted for details on supply on 0422 429 648.",Updated 11-03-2025
irinotecan hydrochloride trihydrate,IRINOTECAN ACCORD irinotecan hydrochloride trihydrate 500 mg/25 mL concentrated injection vial,AUST R: 316412,Expected supply: 31 May 2025,Availability: Limited Availability,Management action: The sponsor is working to expedite the next shipment. Another strength is available,Updated 10-03-2025
atorvastatin calcium trihydrate,EZETIMIBE/ATORVASTATIN GH 10/80 ezetimibe and atorvastatin (as calcium trihydrate) 10 mg/80 mg tablets blister pack,AUST R: 306965,Expected supply: 30 Apr 2025,Availability: Unavailable,Management action: The sponsor is working to expedite the next shipment.,Updated 07-03-2025
atorvastatin calcium trihydrate,ATOZET ezetimibe/atorvastatin 10mg/80mg tablet blister pack,AUST R: 216962,Expected supply: 28 Mar 2025,Availability: Limited Availability,Management action: The sponsor is working to expedite the next shipment.,Updated 07-03-2025
pioglitazone hydrochloride,ACTOS Pioglitazone 30mg (as hydrochloride) tablet - uncoated blister pack,AUST R: 76463,Expected supply: 31 Dec 2025,Availability: Unavailable,Management action: An alternative generic product is available.,Updated 06-03-2025
pregabalin,PREBALIN  pregabalin 25 mg capsule blister,AUST R: 308096,Expected supply: 25 Apr 2025,Availability: Limited Availability,Management action: Alternative generic products are available.,Updated 06-03-2025
levothyroxine sodium,LEVOTHOX levothyroxine sodium 50 microgram tablet bottle,AUST R: 364022,Expected supply: 31 Jul 2025,Availability: Unavailable,,Updated 06-03-2025
acetazolamide sodium,GLAUMOX acetazolamide (as sodium) 500 mg powder for injection vial,AUST R: 142075,Expected supply: 31 Dec 2025,Availability: Unavailable,"Management action: An unregistered product has been approved for supply under Section 19A. The approval holder, Phebra Pty Ltd can be contacted on: 1800 720 020 for details on supply.",Updated 05-03-2025
montelukast sodium,MONTELUKAST VIATRIS montelukast 5 mg (as sodium) chewable tablet blister pack,AUST R: 323025,Expected supply: 31 May 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 05-03-2025
metformin hydrochloride,SITAGLIPTIN/METFORMIN SANDOZ XR 50/1000 sitagliptin (as hydrochloride monohydrate)/metformin HCl 50mg/1000mg extended release tablet bottle,AUST R: 369591,Expected supply: 28 Apr 2025,Availability: Unavailable,Management action: Alternative generic products are available,Updated 05-03-2025
fluorouracil,FLUOROURACIL VIATRIS fluorouracil 5%w/w cream tube,AUST R: 384710,Expected supply: 30 Apr 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 05-03-2025
losartan potassium,COZAAR losartan potassium 50mg tablet blister pack,AUST R: 54809,Expected supply: 30 Apr 2025,Availability: Unavailable,Management action: The sponsor is working to expedite next shipment.,Updated 05-03-2025
fenofibrate,APO-FENOFIBRATE fenofibrate 145 mg tablet blister pack,AUST R: 291652,Expected supply: 16 May 2025,Availability: Limited Availability,Management action: Alternative generic products are available.,Updated 04-03-2025
dimethyl fumarate,PHARMACOR DIMETHYL FUMARATE dimethyl fumarate 120 mg delayed release capsule blister pack,AUST R: 309592,Expected supply: 01 May 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 04-03-2025
hydrochlorothiazide,PHARMACOR OLMESARTAN HCTZ 40/25 olmesartan medoxomil and hydrochlorothiazide 40/25 mg tablet blister pack,AUST R: 286105,Expected supply: 15 Apr 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 04-03-2025
montelukast sodium,MONTELUKAST LUPIN montelukast 10 mg (as sodium) film-coated tablet blister pack,AUST R: 323024,Expected supply: 30 May 2025,Availability: Limited Availability,Management action: Alternative generic products are available. The sponsor is working to expedite the next shipment,Updated 04-03-2025
imatinib mesilate,GILMAT imatinib (as mesilate) 100 mg film-coated tablet blister pack,AUST R: 281036,Expected supply: 01 May 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 04-03-2025
gabapentin,GABACOR gabapentin 100 mg capsule blister pack,AUST R: 204498,Expected supply: 01 Apr 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 04-03-2025
lacosamide,VIMCOSA lacosamide 150 mg tablet blister pack,AUST R: 353572,Expected supply: 01 Apr 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 04-03-2025
human menopausal gonadotrophin,MENOPUR gonadotrophin - human menopausal 1200IU multidose powder for injection vial with diluent syringe,AUST R: 161985,Expected supply: 28 Feb 2026,Availability: Limited Availability,Management action: The sponsor is closely controlling the supply.,Updated 03-03-2025
human menopausal gonadotrophin,MENOPUR gonadotrophin - human menopausal 600IU multidose powder for injection vial with diluent syringe,AUST R: 161984,Expected supply: 28 Feb 2026,Availability: Limited Availability,Management action: The sponsor is closely controlling the supply.,Updated 03-03-2025
gabapentin,PHARMACOR GABAPENTIN 800 gabapentin 800 mg tablet blister pack,AUST R: 156108,Expected supply: 01 Dec 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 03-03-2025
estradiol hemihydrate,ESTRADERM MX 75 estradiol 75 microgram/24hr transdermal drug delivery system sachet,AUST R: 76117,Expected supply: 30 Jun 2025,Availability: Unavailable,Management action: The sponsor is working to expedite the next shipment. Unregistered products have been approved for supply under Section 19A. See the website: https://www.tga.gov.au/ws-s19a-index and search for the active ingredient.,Updated 03-03-2025
lurasidone hydrochloride,PHARMACOR LURASIDONE lurasidone hydrochloride 80 mg film-coated tablet blister pack,AUST R: 324027,Expected supply: 01 May 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 03-03-2025
fenofibrate,FENOFIBRATE VIATRIS fenofibrate 48 mg tablet blister pack,AUST R: 230444,Expected supply: 30 May 2025,Availability: Limited Availability,Management action: Alternative generic products are available.,Updated 03-03-2025
hydrochlorothiazide,PHARMACOR OLMESARTAN HCTZ 20/12.5 olmesartan medoxomil and hydrochlorothiazide 20/12.5 mg tablet blister pack,AUST R: 286104,Expected supply: 15 Apr 2025,Availability: Unavailable,Management action: The sponsor is working to expedite the next shipment. Alternative generic products are available.,Updated 03-03-2025
tobramycin,DBL TOBRAMYCIN tobramycin 80mg/2mL injection BP vial,AUST R: 75686,Expected supply: 15 Apr 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 03-03-2025
mefenamic acid,FEMIN mefenamic acid 250 mg capsule bottle,AUST R: 301375,Expected supply: 28 Nov 2025,Availability: Limited Availability,Management action: The sponsor is working to expedite the next shipment. Alternative generic products are available.,Updated 03-03-2025
metformin hydrochloride,SITAGLO-MET 50/1000 sitagliptin (as hydrochloride monohydrate) 50 mg / metformin hydrochloride 1000 mg film-coated tablet blister pack,AUST R: 405897,Expected supply: 30 Jun 2025,Availability: Unavailable,Management action: Alternative generic product is available.,Updated 03-03-2025
sitagliptin hydrochloride monohydrate,SITAGLO sitagliptin (as hydrochloride) 50 mg film-coated tablet blister pack,AUST R: 373737,Expected supply: 01 May 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 28-02-2025
sitagliptin hydrochloride monohydrate,SITAGLO sitagliptin (as hydrochloride) 100 mg film-coated tablet blister pack,AUST R: 373731,Expected supply: 01 May 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 28-02-2025
chloramphenicol,CHOLFEN EYE DROPS chloramphenicol 5 mg/mL bottle,AUST R: 349371,Expected supply: 06 Jun 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 28-02-2025
chlorhexidine gluconate,Bridgewest CHLORHEXIDINE 0.1% irrigation solution ampoule,AUST R: 11175,Expected supply: 28 Feb 2026,Availability: Limited Availability,Management action: The sponsor is working to expedite next shipment.,Updated 28-02-2025
duloxetine hydrochloride,DULOXECOR duloxetine hydrochloride 30 mg enteric capsule blister pack,AUST R: 209155,Expected supply: 15 Mar 2025,Availability: Unavailable,Management action: Sponsor is working to expedite the next shipment.,Updated 28-02-2025
sitagliptin hydrochloride monohydrate,SITAGLO sitagliptin (as hydrochloride) 25 mg film-coated tablet blister pack,AUST R: 373753,Expected supply: 01 Apr 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 28-02-2025
metformin hydrochloride,SITAGLO-MET 50/500 sitagliptin (as hydrochloride monohydrate) 50 mg / metformin hydrochloride 500 mg film-coated tablet bottle,AUST R: 405895,Expected supply: 30 Jun 2025,Availability: Unavailable,Management action: Alternative generic product is available.,Updated 28-02-2025
metformin hydrochloride,SITAGLO-MET 50/850 sitagliptin (as hydrochloride monohydrate) 50 mg / metformin hydrochloride 850 mg film-coated tablet blister pack,AUST R: 405896,Expected supply: 30 Jun 2025,Availability: Unavailable,Management action: Alternative generic product is available.,Updated 28-02-2025
ropivacaine hydrochloride,ROPIBAM 0.2% Ropivacaine hydrochloride 400mg/200mL solution for injection bag,AUST R: 186571,Expected supply: 31 Dec 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 27-02-2025
acetylcysteine,ACETYLCYSTEINE-LINK INJECTION acetylcysteine 2g/10mL concentrated injection ampoule,AUST R: 170803,Expected supply: 16 May 2025,Availability: Limited Availability,Management action: An unregistered product has been approved for supply under Section 19A. See the website and search for the active ingredient: https://www.tga.gov.au/resources/section-19a-approvals,Updated 27-02-2025
methotrexate,ARX-METHOTREXATE 10 methotrexate 10 mg tablet blister pack,AUST R: 365590,Expected supply: 17 May 2025,Availability: Limited Availability,Management action: Alternative generic products are available.,Updated 26-02-2025
lincomycin hydrochloride monohydrate,LINCOCIN lincomycin 600 mg/2 mL (as hydrochloride) injection vial,AUST R: 12281,Expected supply: 30 Jun 2026,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 26-02-2025
metformin hydrochloride,SITAGLIPTIN/METFORMIN SANDOZ XR 100/1000 sitagliptin (as hydrochloride monohydrate)/metformin HCl 100mg/1000mg extended release tablet bottle,AUST R: 369590,Expected supply: 28 Apr 2025,Availability: Unavailable,Management action: Alternative generic products are available,Updated 26-02-2025
lidocaine hydrochloride,XYLOCAINE 1% lidocaine (lignocaine) hydrochloride 50mg/5mL injection ampoule,AUST R: 48357,Expected supply: 16 May 2025,Availability: Unavailable,Management action: Alternative products are available while the sponsor is working to expedite the next shipment,Updated 26-02-2025
atorvastatin calcium trihydrate,EZETIMIBE/ATORVASTATIN GH 10/20 ezetimibe and atorvastatin (as calcium trihydrate) 10 mg/20 mg tablets blister pack,AUST R: 306957,Expected supply: 30 Apr 2025,Availability: Unavailable,Management action: An alternative presentation is available.,Updated 25-02-2025
atorvastatin calcium trihydrate,EZETIMIBE/ATORVASTATIN GH 10/40 ezetimibe and atorvastatin (as calcium trihydrate) 10 mg/40 mg tablets blister pack,AUST R: 306955,Expected supply: 30 Apr 2025,Availability: Unavailable,Management action: An alternative presentation is available.,Updated 25-02-2025
sodium fluoride,RADPHARM LEUCOCYTE LABELLING KIT for the production of Technetium(99mTc) stannous fluoride injection composite pack,AUST R: 14333,Expected supply: 30 Apr 2025,Availability: Unavailable,Management action: Sponsor is working to expedite the next shipment.,Updated 25-02-2025
pentetic acid,RADPHARM DTPA kit for production of Technetium (99mTc) pentetate powder for injection multidose vial,AUST R: 14327,Expected supply: 30 Apr 2025,Availability: Unavailable,Management action: Sponsor is working to expedite the next shipment. Alternative products are available.,Updated 25-02-2025
medronic acid,RADPHARM MDP kit for the production of Technetium (99mTc) medronate powder for injection multidose vial,AUST R: 14330,Expected supply: 30 Apr 2025,Availability: Unavailable,Management action: Sponsor is working to expedite the next shipment.,Updated 25-02-2025
lidocaine hydrochloride,XYLOCAINE 1% lidocaine (lignocaine) hydrochloride 20mg/2mL injection ampoule,AUST R: 12013,Expected supply: 23 May 2025,Availability: Unavailable,Management action: The sponsor is working to expedite the next shipment. An alternative presentation is available,Updated 25-02-2025
oxytocin,OXYTOCIN GH Solution for Injection 5 IU/1 mL ampoule,AUST R: 207985,Expected supply: 01 Jun 2025,Availability: Limited Availability,Management action: An unregistered product has been approved for supply under Section 19A. See the website: https://www.tga.gov.au/ws-sl9a-index and search for the active ingredient.,Updated 25-02-2025
adrenaline (epinephrine) acid tartrate,"XYLOCAINE 1% WITH ADRENALINE 1:200,000 20mL injection vial",AUST R: 12015,Expected supply: 31 Mar 2025,Availability: Unavailable,Management action: An alternative presentation is available.,Updated 25-02-2025
atropine sulfate monohydrate,ATROPT 1% atropine sulfate monohydrate 10mg/mL eye drops bottle,AUST R: 19648,Expected supply: 19 May 2025,Availability: Unavailable,Management action: The sponsor is working to expedite the next shipment.,Updated 25-02-2025
duloxetine hydrochloride,DYTREX 60 duloxetine (as hydrochloride) 60 mg enteric capsule blister pack,AUST R: 199263,Expected supply: 11 Apr 2025,Availability: Limited Availability,Management action: Sponsor is working to expedite the next shipment.,Updated 24-02-2025
ezetimibe,EZALO Composite Pack 10mg+5mg ezetimibe 10mg tablets and rosuvastatin (as calcium) 5mg tablets composite pack,AUST R: 203693,Expected supply: 28 Mar 2025,Availability: Unavailable,Management action: Alternative generic product is available.,Updated 24-02-2025
escitalopram oxalate,ESCITALOPRAM GH escitalopram (as oxalate) 10 mg tablet blister,AUST R: 292295,Expected supply: 02 May 2025,Availability: Limited Availability,Management action: Alternative generic products are available.,Updated 24-02-2025
sodium pyrophosphate,RADPHARM PYP kit for the preparation of Technetium (99mTc) tin pyrophosphate powder for injection multidose vial,AUST R: 14328,Expected supply: 30 Apr 2025,Availability: Unavailable,"Management action: An unregistered product has been approved for supply under Section 19A. The approval holder, Global Medical Solutions, can be contacted for details on supply on 02 9503 8100.",Updated 24-02-2025
olmesartan medoxomil,APO-OLMESARTAN olmesartan medoxomil 40 mg film coated tablets blister pack,AUST R: 221063,Expected supply: 25 Apr 2025,Availability: Limited Availability,Management action: Alternative generic products are available.,Updated 24-02-2025
naloxone hydrochloride dihydrate,NYXOID naloxone hydrochloride dihydrate 2.2 mg/actuation nasal spray vial,AUST R: 309381,Expected supply: 15 Apr 2025,Availability: Limited Availability,"Management action: The TGA is working with the sponsor to monitor supply. An unregistered product has been approved for supply under Section 19A. The approval holder, Link Medical Products Pty Ltd, can be contacted for details on supply on 1800 181 060.",Updated 24-02-2025
nebivolol hydrochloride,NEBIVOLOL SANDOZ  nebivolol (as hydrochloride) 5 mg immediate release tablet blister pack,AUST R: 311724,Expected supply: 21 Apr 2025,Availability: Unavailable,Management action: The sponsor is working to expedite the next shipment. Alternative brands are available.,Updated 24-02-2025
risperidone,RISPA risperidone 1 mg film-coated tablet blister pack,AUST R: 159973,Expected supply: 23 May 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 21-02-2025
risperidone,RISPA  risperidone 2 mg film-coated tablet blister pack,AUST R: 159976,Expected supply: 23 May 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 21-02-2025
risperidone,APO-RISPERIDONE risperidone 3mg tablet blister pack,AUST R: 304253,Expected supply: 20 Jun 2025,Availability: Unavailable,Management action: Alternative generic brands are available.,Updated 21-02-2025
mirtazapine,AXIT 45 mirtazapine 45 mg tablet blister pack,AUST R: 164493,Expected supply: 30 May 2025,Availability: Unavailable,Management action: Alternative generic products are available,Updated 20-02-2025
methylphenidate hydrochloride,CONCERTA methylphenidate hydrochloride 18mg modified release tablet bottle,AUST R: 93862,Expected supply: 31 Dec 2025,Availability: Limited Availability,"Management action: The sponsor is closely monitoring the supply.Patients are advised to consult their healthcare professional to discuss their options. An unregistered product has been approved for supply under Section 19A. The approval holder, Medsurge Healthcare Pty Ltd can be contacted for details on supply on 1300 788 261.",Updated 20-02-2025
methylphenidate hydrochloride,CONCERTA methylphenidate hydrochloride 54mg modified release tablet bottle,AUST R: 93864,Expected supply: 31 Dec 2025,Availability: Limited Availability,"Management action: The sponsor is closely monitoring the supply.Patients are advised to consult their healthcare professional to discuss their options. An unregistered product has been approved for supply under Section 19A. The approval holder, Medsurge Healthcare Pty Ltd can be contacted for details on supply on 1300 788 261.",Updated 20-02-2025
estradiol,ESTALIS SEQUI 50/250 patches sachet composite pack,AUST R: 338042,Expected supply: 30 Jun 2025,Availability: Unavailable,Management action: Sponsor is working to expedite the next shipment.,Updated 20-02-2025
mesalazine,MESASAL mesalazine 250 mg enteric coated tablet blister pack,AUST R: 289132,Expected supply: 07 May 2025,Availability: Unavailable,,Updated 20-02-2025
methylphenidate hydrochloride,CONCERTA methylphenidate hydrochloride 27mg modified release tablet bottle,AUST R: 124502,Expected supply: 31 Dec 2025,Availability: Limited Availability,"Management action: The sponsor is closely monitoring the supply.Patients are advised to consult their healthcare professional to discuss their options. An unregistered product has been approved for supply under Section 19A. The approval holder, Medsurge Healthcare Pty Ltd can be contacted for details on supply on 1300 788 261.",Updated 20-02-2025
methylphenidate hydrochloride,CONCERTA methylphenidate hydrochloride 36mg modified release tablet bottle,AUST R: 93863,Expected supply: 31 Dec 2025,Availability: Limited Availability,"Management action: The sponsor is closely monitoring the supply.Patients are advised to consult their healthcare professional to discuss their options. An unregistered product has been approved for supply under Section 19A. The approval holder, Medsurge Healthcare Pty Ltd can be contacted for details on supply on 1300 788 261.",Updated 20-02-2025
pramipexole dihydrochloride monohydrate,SIMPRAL pramipexole dihydrochloride monohydrate 0.25 mg tablet blister pack,AUST R: 173138,Expected supply: 06 Jun 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 20-02-2025
nicorandil,IKOTAB nicorandil 10 mg tablet blister pack,AUST R: 218690,Expected supply: 30 Jun 2025,Availability: Limited Availability,Management action: The sponsor is closely controlling the supply. An alternative brand is available.,Updated 20-02-2025
atorvastatin calcium trihydrate,LORSTAT 80 atorvastatin (as calcium trihydrate) 80 mg tablets bottle,AUST R: 334866,Expected supply: 07 May 2025,Availability: Limited Availability,Management action: Alternative brands are available.,Updated 19-02-2025
fluorouracil,FLUOROURACIL ACCORD fluorouracil 1000 mg/20 mL injection vial,AUST R: 285800,Expected supply: 30 Jun 2025,Availability: Unavailable,,Updated 18-02-2025
fluorouracil,DBL FLUOROURACIL INJECTION BP fluorouracil 2.5g/50mL injection vial,AUST R: 75832,Expected supply: 30 Jun 2025,Availability: Unavailable,"Management action: The sponsor is working to expedite the next shipment. An unregistered product has been approved for supply under Section 19A. The approval holder, Medsurge Healthcare Pty Ltd can be contacted for details on supply on 1300 788 261.",Updated 18-02-2025
